"time","S","R","P","S2","R2","B","OD","OD_noised","u_S","u_R","k","a_S","b","q0","m","v","u_S2","u_R2","k2","x","v2","S_init","R_init","P_init","S2_init","R2_init"
1185,-8.13685191744103e-09,938979385.194448,11360434677.4592,2.53958779219671e-14,85935.9131854744,939065321.107633,0.94,0.941,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1200,1.93811707190089e-09,949956881.891534,11360434677.4592,-2.38861758771258e-13,187409.914483119,950144291.806017,0.951,0.951,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1215,2.07666047309673e-13,959024282.014526,11360434677.4592,-5.96343984855474e-16,366397.788275182,959390679.802801,0.96,0.961,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1230,9.17021882595407e-11,966492263.805096,11360434677.4592,-8.24998892569503e-14,654513.837446203,967146777.642542,0.968,0.967,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1245,5.62713977486734e-08,972628283.383954,11360434677.4592,-2.84609681324871e-11,1085210.727054,973713494.111008,0.975,0.974,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1260,-9.53511891153763e-08,977660158.369289,11360434677.4592,2.71480544617205e-11,1691821.81038133,979351980.179671,0.98,0.98,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1275,-2.5836800565883e-07,981780067.491018,11360434677.4592,1.46561981080634e-09,2506383.28930313,984286450.780321,0.985,0.984,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1290,1.70936765921003e-10,985148822.939759,11360434677.4592,-9.90563317334361e-13,3559260.06261628,988708083.002375,0.99,0.991,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1305,5.51581608299594e-09,987900469.125561,11360434677.4592,4.20945172201227e-11,4879402.40840363,992779871.533965,0.994,0.994,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1320,-1.61347376849093e-08,990146068.101558,11360434677.4592,-1.0296091914249e-10,6494889.2243893,996640957.325947,0.998,0.998,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
1335,1.16056835670583e-09,991977262.538923,11360434677.4591,7.4194781495172e-12,8433495.97409343,1000410758.51302,1.001,1.002,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
